2022-05-03 00:01:26,592 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19384,"state":"CANDIDATE","term":27,"voteFor":"192.168.0.103:8848"}, term: 27

2022-05-03 00:01:26,592 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":18824,"state":"CANDIDATE","term":28,"voteFor":"192.168.0.103:8848"}, term: 28

2022-05-03 00:01:26,592 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19186,"state":"CANDIDATE","term":29,"voteFor":"192.168.0.103:8848"}, term: 29

2022-05-03 00:01:26,592 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19561,"state":"CANDIDATE","term":30,"voteFor":"192.168.0.103:8848"}, term: 30

2022-05-03 00:01:26,592 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19110,"state":"CANDIDATE","term":31,"voteFor":"192.168.0.103:8848"}, term: 31

2022-05-03 00:01:26,592 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19067,"state":"CANDIDATE","term":32,"voteFor":"192.168.0.103:8848"}, term: 32

2022-05-03 00:01:26,592 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":17254,"state":"CANDIDATE","term":33,"voteFor":"192.168.0.103:8848"}, term: 33

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":15791,"state":"CANDIDATE","term":34,"voteFor":"192.168.0.103:8848"}, term: 34

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":16608,"state":"CANDIDATE","term":35,"voteFor":"192.168.0.103:8848"}, term: 35

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":16840,"state":"CANDIDATE","term":36,"voteFor":"192.168.0.103:8848"}, term: 36

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":16878,"state":"CANDIDATE","term":37,"voteFor":"192.168.0.103:8848"}, term: 37

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":18918,"state":"CANDIDATE","term":38,"voteFor":"192.168.0.103:8848"}, term: 38

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":16867,"state":"CANDIDATE","term":39,"voteFor":"192.168.0.103:8848"}, term: 39

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":17474,"state":"CANDIDATE","term":40,"voteFor":"192.168.0.103:8848"}, term: 40

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":17935,"state":"CANDIDATE","term":41,"voteFor":"192.168.0.103:8848"}, term: 41

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19223,"state":"CANDIDATE","term":42,"voteFor":"192.168.0.103:8848"}, term: 42

